id,scientific,scientif_1,eventDate,lon,lat,institutio,collection,catalogNum,scientif_2,originalsc,absence,acceptedNa,accepted_1,accessRigh,aphiaID
0c72e006-b05a-47df-a578-e39adbe29c7b,Cepphus grylle,"(Linnaeus, 1758)",01/01/1984 00:00,-53.86882,49.54823,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NF000558_BLGU_1325_1984-01-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0c7ecec5-bd06-4f79-baa1-04ac63c86530,Cepphus grylle,"(Linnaeus, 1758)",1978-08-02T13:30:00,-57.8167,54.25,Canadian Wildlife Service,280,280_105043,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0c802021-ce51-4291-ad2c-02abab071b2a,Cepphus grylle,"(Linnaeus, 1758)",1970-11-15T13:30:00,-59.35,47.9667,Canadian Wildlife Service,280,280_33198,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0cd3d5c0-e5ff-49a1-b9b6-34a3b4015717,Cepphus grylle,,,-64.1,48.76,"Canadian Wildlife Service-Atlantic, Environment Canada",,689065724_1186131689_472954136,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0ce5c3e7-f5b5-4d76-8fee-d0b10ec65918,Cepphus grylle,"(Linnaeus, 1758)",4/25/14 18:42,-69.351,41.507,"BOEM, NOAA, NAVY, USFWS",,802772,137130,,FALSE,,,,137130
0cf8d244-65c0-4218-99f1-124de063d6f2,Cepphus grylle,"(Linnaeus, 1758)",5/28/76 12:00,-65.03027344,43.68431091,ACCD,EOR,31805,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0d411d63-90f0-4693-a86e-810fdc39f738,Cepphus grylle,,,-65.4,47.96,"Canadian Wildlife Service-Atlantic, Environment Canada",,-635145613_1840688132_1037210849,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0db8dd9f-0a89-4cdc-b087-2924ed6b8c33,Cepphus grylle,"(Linnaeus, 1758)",8/20/05 17:19,-68.1036,44.3408,NA,,442295,137130,,FALSE,,,,137130
0dd42c60-99a3-4468-8276-6806c0aae10d,Cepphus grylle,"(Linnaeus, 1758)",2017-03-06T10:45:06,-73.7816,40.3743,NORMANDEAU,1817,1817_48110,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0dfb2f90-e3d7-43e1-b6d7-354523295b2f,Cepphus grylle,,,-64.4,48.84,"Canadian Wildlife Service-Atlantic, Environment Canada",,58439636_-649322271_1406488163,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
