scientificName,decimalLongitude,decimalLatitude
Desmophyllum pertusum,-43.83000183,-24.28000069
Desmophyllum pertusum,-11.77000046,51.41999817
Desmophyllum pertusum,5.6495,63.718
Desmophyllum dianthus,114.97599,-31.61305
Desmophyllum pertusum,-79.62382,28.79392
Desmophyllum pertusum,-9.909999847,32.45000076
Desmophyllum,-125.01406,48.25874
Desmophyllum dianthus,-117.39972,32.62111
Desmophyllum pertusum,-84.72973,26.20475
Desmophyllum pertusum,-5,46
Desmophyllum pertusum,-15.41499996,25.98999977
Desmophyllum,-125.18093,48.14342
Desmophyllum pertusum,-79.61544,28.32414
Desmophyllum pertusum,-119.47257,33.91966
Desmophyllum dianthus,175.7700043,-44.11999893
Desmophyllum pertusum,-125.01127,48.24295
Desmophyllum pertusum,7.099999905,63.36000061
Desmophyllum,-177.9945,51.73859
Desmophyllum pertusum,-6.449999809,59.93000031
Desmophyllum pertusum,10.75,66.86000061
Desmophyllum pertusum,-16.54999924,32.43000031
Desmophyllum pertusum,-84.73126,26.18666
Desmophyllum pertusum,14.39026111,68.93781121
Desmophyllum dianthus,-58.99000168,43.97000122
Desmophyllum pertusum,-8,48
Desmophyllum dianthus,-74.33830261,-48.57780075
Desmophyllum pertusum,6,65.52999878
Desmophyllum pertusum,-12.9333334,60.34999847
Desmophyllum pertusum,-79.0833,31.9
Desmophyllum dianthus,-119.48463,33.92001
Desmophyllum pertusum,7.550000191,43.54000092
Desmophyllum pertusum,3.613675,62.67285
Desmophyllum pertusum,10.50398551,63.60450199
Desmophyllum pertusum,8.699999809,65.16000366
Desmophyllum pertusum,-66.75,40.70000076
Desmophyllum pertusum,-13.10999966,57.50999832
Desmophyllum dianthus,-9.06000042,44.09999847
Desmophyllum pertusum,-28.98999977,37.52000046
Desmophyllum pertusum,-4,46
Desmophyllum pertusum,6.4972,65.1296
Desmophyllum pertusum,-28.60000038,60.59000015
Desmophyllum dianthus,-119.35757,32.89892
Desmophyllum pertusum,-79.08332825,31.89999962
Desmophyllum dianthus,161.978,-51.061
Desmophyllum dianthus,-16.54999924,32.43000031
Desmophyllum,-125.20985,48.15903
Desmophyllum pertusum,-11.55,29.22166667
Desmophyllum dianthus,-119.47297,33.92122
Desmophyllum pertusum,-84.57188,25.63336
Desmophyllum dianthus,-119.46468,33.95399
Desmophyllum,-125.2125,48.15785
Desmophyllum pertusum,-12.47999954,-37.41999817
Desmophyllum pertusum,-10.30916595,60.37249947
Desmophyllum pertusum,8.010000229,64.05999756
Desmophyllum pertusum,-125.01122,48.243
Desmophyllum,-125.17776,48.1443
Desmophyllum pertusum,10.502,63.5472
Desmophyllum pertusum,-84.77803,26.46664
Desmophyllum dianthus,174.6988333,-41.98533333
Desmophyllum pertusum,5.989999771,62.79999924
Desmophyllum dianthus,-178.551667,-44.45
Desmophyllum pertusum,-79.75164,28.32067
Desmophyllum pertusum,-88.93846893,23.25479317
Desmophyllum pertusum,-11.69999981,51.43000031
Desmophyllum pertusum,-25.5,37.79999924
Desmophyllum pertusum,-11.72999954,60.61000061
Desmophyllum pertusum,11.03943,58.69593
Desmophyllum pertusum,-27.95363,38.95797
Desmophyllum pertusum,14.3862636,68.92427927
Desmophyllum pertusum,-79.84999847,25.70000076
Desmophyllum dianthus,-68.68000031,-59.72999954
Desmophyllum dianthus,-156.66007,20.48685
Desmophyllum dianthus,-89.80999756,-1.279999971
Desmophyllum pertusum,10.9612,58.9977
Desmophyllum dianthus,-63,34
Desmophyllum dianthus,178.3300018,-39.43000031
Desmophyllum pertusum,-8.239999771,61.52500153
Desmophyllum,-125.01307,48.25801
Desmophyllum pertusum,9.600000381,43.22499847
Desmophyllum pertusum,9.270283,67.468614
Desmophyllum pertusum,-79.61386,28.03999
Desmophyllum pertusum,14.403,68.9282
Desmophyllum pertusum,6.329999924,-26.14999962
Desmophyllum pertusum,-12.13000011,52.06000137
Desmophyllum dianthus,-31.57999992,58.34999847
Desmophyllum pertusum,-88.01058,29.17031
Desmophyllum,-125.18235,48.14259
Desmophyllum pertusum,30.90999985,70.65000153
Desmophyllum pertusum,-119.47406,33.92027
Desmophyllum pertusum,-13.40999985,58.15999985
Desmophyllum pertusum,-79.62468,28.79414
Desmophyllum pertusum,-119.13259,33.70707
Desmophyllum pertusum,-14.69499969,57.24499893
Desmophyllum pertusum,-21.79999924,63.13999939
Desmophyllum pertusum,117.613327,21.70166969
Desmophyllum,-125.1777,48.14433
Desmophyllum pertusum,14.37967735,68.93708993
Desmophyllum pertusum,-79.72348,28.45859
Desmophyllum dianthus,148.55,-40.2
Desmophyllum pertusum,-7,47
Desmophyllum dianthus,-179.2175,-43.052
Desmophyllum dianthus,162.0099945,-51
Desmophyllum pertusum,-79.43000031,30.72999954
Desmophyllum dianthus,176.8099976,-36.15999985
Desmophyllum pertusum,8.0257,64.0797
Desmophyllum pertusum,-79.58000183,27.65999985
Desmophyllum pertusum,-14.13000011,57.70000076
Desmophyllum pertusum,7.460000038,63.11000061
Desmophyllum pertusum,3.710000038,62.56999969
Desmophyllum dianthus,-118.1999969,33.29999924
Desmophyllum pertusum,-79.61614,28.77592
Desmophyllum dianthus,178.5108,-35.353
Desmophyllum pertusum,-176.6600037,-12.55000019
Desmophyllum pertusum,-25.38999939,37.91999817
Desmophyllum pertusum,-79.69999695,30.51000023
Desmophyllum dianthus,-27.02,40.523
Desmophyllum dianthus,-11.72999954,51.45000076
Desmophyllum dianthus,-179.216833,-43.858333
Desmophyllum pertusum,6.933228,62.772488
Desmophyllum dianthus,178.6499939,-43.06000137
Desmophyllum pertusum,-6.329999924,60.33000183
Desmophyllum pertusum,11.0867,63.9017
Desmophyllum dianthus,-117,32
Desmophyllum pertusum,-79.76021,28.31952
Desmophyllum,-125.21113,48.15761
Desmophyllum pertusum,4.119999886,62.72999954
Desmophyllum dianthus,-90.88999939,-0.180000007
Desmophyllum,-74.59999847,-48.15000153
Desmophyllum dianthus,16.6663,38.2453
Desmophyllum pertusum,5.199999809,60.15000153
Desmophyllum dianthus,-174,-44.2
Desmophyllum pertusum,10.75,66.8667
Desmophyllum dianthus,-179.161333,-43.6355
Desmophyllum pertusum,-79.72311,28.45862
Desmophyllum pertusum,14.45365499,68.89862237
Desmophyllum pertusum,-121.90007,36.76
Desmophyllum dianthus,178.5417,-35.3497
Desmophyllum pertusum,10.561157,67.058108
Desmophyllum pertusum,-6,47
Desmophyllum pertusum,-13.96000004,56.70000076
Desmophyllum dianthus,-117.98651,32.65264
Desmophyllum pertusum,-44.75,-25.29999924
Desmophyllum dianthus,175.4799957,-41.70000076
Desmophyllum pertusum,7.628082871,63.53158528
Desmophyllum pertusum,14.35725408,68.93157011
Desmophyllum pertusum,14.40510707,68.92937469
Desmophyllum,-125.01276,48.25981
Desmophyllum pertusum,-5,46
Desmophyllum dianthus,-74.55000305,-48.27999878
Desmophyllum pertusum,8.5,64.09999847
Desmophyllum pertusum,-89.79862,28.19397
Desmophyllum pertusum,-88.33000183,29.15999985
Desmophyllum pertusum,-11.53999996,52.44499969
Desmophyllum,-125.17723,48.14404
Desmophyllum dianthus,-179.988,-42.7913
Desmophyllum pertusum,8.029999733,64.06999969
Desmophyllum,-125.17766,48.14434
Desmophyllum dianthus,-82.1166687,-21.66666603
Desmophyllum pertusum,-75.79171,34.32389
Desmophyllum pertusum,-79.6278,28.46306
Desmophyllum pertusum,-15.52999973,55.61000061
Desmophyllum dianthus,167.6300049,-50.63000107
Desmophyllum dianthus,-28.42000008,61.61000061
Desmophyllum pertusum,-7.449999809,56.75
Desmophyllum pertusum,-25.87999916,62.36000061
Desmophyllum pertusum,6.594,64.6236
Desmophyllum dianthus,147.208625,-44.25028
Desmophyllum pertusum,-6,47
Desmophyllum dianthus,173.6499939,-43.22999954
Desmophyllum dianthus,166.6300049,-16.03000069
Desmophyllum,-125.09542,48.1285
Desmophyllum pertusum,-79.61334,28.1616
Desmophyllum pertusum,-91.25289917,26.91635323
Desmophyllum pertusum,-11.52000046,55.18000031
Desmophyllum dianthus,167.6799927,-32.34999847
Desmophyllum pertusum,10.72999954,63.63999939
Desmophyllum pertusum,-79.61411,28.04041
Desmophyllum pertusum,7.869999886,63.91999817
Desmophyllum,-125.0129,48.2569
Desmophyllum pertusum,-10.22999954,60.86000061
Desmophyllum pertusum,-9,48
Desmophyllum pertusum,-84.73213,26.20377
Desmophyllum dianthus,174.4700012,-41.47000122
Desmophyllum pertusum,-79.66000366,29.01000023
Desmophyllum pertusum,5.239999771,62.56000137
Desmophyllum pertusum,5.150000095,63.04999924
Desmophyllum pertusum,-79.62145,28.79171
Desmophyllum dianthus,170.1000061,-33.54999924
Desmophyllum dianthus,-119.48879,33.92185
Desmophyllum pertusum,14.40942968,68.931218
Desmophyllum pertusum,-79.7587,28.32094
Desmophyllum pertusum,7.960000038,64.08000183
Desmophyllum pertusum,-15.64999962,56.15999985
Desmophyllum pertusum,4.929999828,63
Desmophyllum pertusum,6.050000191,65.52999878
Desmophyllum pertusum,-9.5,62.04999924
Desmophyllum pertusum,8.020000458,64.06999969
Desmophyllum pertusum,14.38536283,68.94194134
Desmophyllum pertusum,-15,55
Desmophyllum dianthus,-178.5,-30.55999947
Desmophyllum pertusum,8.022352,66.706706
Desmophyllum,-125.01304,48.25905
Desmophyllum dianthus,-49.23329926,-49.71670151
Desmophyllum pertusum,-8.470000267,4.460000038
Desmophyllum,-125.01226,48.25614
Desmophyllum pertusum,-11.10000038,57.45000076
Desmophyllum pertusum,-79.61453,28.03682
Desmophyllum dianthus,-29.134,37.86
Desmophyllum dianthus,-119.47786,33.92006
Desmophyllum dianthus,-168.1100006,-38.45000076
Desmophyllum pertusum,7.920000076,64.04000092
Desmophyllum,-125.17722,48.14404
Desmophyllum dianthus,-72.44999695,-42.34000015
Desmophyllum dianthus,-119.47873,33.9203
Desmophyllum pertusum,-9.25,60.56000137
Desmophyllum dianthus,174.4700012,-41.47000122
Desmophyllum pertusum,-79.6212,28.79588
Desmophyllum dianthus,-119.47333,33.92137
Desmophyllum,-125.013,48.25624
Desmophyllum dianthus,-1.899999976,35.90000153
Desmophyllum dianthus,-174.358333,-43.82
Desmophyllum pertusum,-79.61373,28.03833
Desmophyllum dianthus,176.4799957,-37.36999893
Desmophyllum pertusum,-51.9336,-34.6675
Desmophyllum,-125.09705,48.10474
Desmophyllum pertusum,-119.13835,33.70972
Desmophyllum pertusum,9.300000191,65.05000305
Desmophyllum pertusum,-9,48
Desmophyllum pertusum,7.9403,63.9745
Desmophyllum,-125.01322,48.25695
Desmophyllum pertusum,-79.72333,28.45848
Desmophyllum pertusum,10.735,59.1037
Desmophyllum dianthus,158.7599945,-56.68000031
Desmophyllum dianthus,170.061661,-20.971666
Desmophyllum dianthus,178.4478,-35.8573
Desmophyllum pertusum,9.277817,67.466639
Desmophyllum,-125.01287,48.25624
Desmophyllum pertusum,-7,47
Desmophyllum dianthus,-167.15517,24.52448
Desmophyllum pertusum,-6,47
Desmophyllum pertusum,14.40562317,68.92283655
Desmophyllum dianthus,-127.8300018,32.36000061
Desmophyllum pertusum,-79.61508,28.04139
Desmophyllum dianthus,-81.94999695,23.89999962
Desmophyllum dianthus,117.613327,21.70166969
Desmophyllum dianthus,-9.710000038,39.70000076
Desmophyllum pertusum,-7,47
Desmophyllum dianthus,-55.65999985,44.86000061
Desmophyllum,-124.93521,48.30288
Desmophyllum pertusum,-8,48
Desmophyllum pertusum,20.59000015,70.33000183
Desmophyllum dianthus,-118.4038,32.71293
Desmophyllum,114.5,15.85000038
Desmophyllum pertusum,-79.61661,28.77578
Desmophyllum pertusum,5.997166309,65.7389623
Desmophyllum,-125.01326,48.25695
Desmophyllum dianthus,174.8000031,-41.34000015
Desmophyllum dianthus,179.5828333,-43.35766667
Desmophyllum pertusum,14.45756059,68.90048575
Desmophyllum pertusum,-8,47
Desmophyllum,-125.01321,48.25763
Desmophyllum pertusum,-11.75,51.45000076
Desmophyllum dianthus,-119.47467,33.91853
Desmophyllum,-121.91125,36.2352
Desmophyllum dianthus,-64.75,32.33300018
Desmophyllum pertusum,5.7259,63.5129
Desmophyllum dianthus,3.369999886,40.40000153
Desmophyllum pertusum,-7,47
Desmophyllum pertusum,-18.78000069,63.22999954
Desmophyllum pertusum,-79.11000061,31.43000031
Desmophyllum pertusum,22.4792,70.2715
Desmophyllum pertusum,-79.31999969,27.04999924
Desmophyllum dianthus,-118.40342,32.71238
Desmophyllum dianthus,-12.65999985,29.81999969
Desmophyllum pertusum,-84.72991,26.18851
Desmophyllum pertusum,-75.79171,34.32389
Desmophyllum dianthus,-176.8136667,-44.73533333
Desmophyllum pertusum,-31,37
Desmophyllum,-125.01309,48.25765
Desmophyllum pertusum,6.329999924,-26.14999962
Desmophyllum dianthus,129.3300018,31.65999985
Desmophyllum pertusum,-13.27999973,57.5
