Crane,Time,X,Y
100845,10/21/13 09:04,530.9018492,-1940.951153
100845,10/21/13 15:01,532.7104182,-1941.224816
100845,10/21/13 21:00,527.3946936,-1928.646769
100845,10/22/13 03:00,527.3657303,-1928.637662
100845,10/22/13 08:59,528.9455654,-1942.534155
100845,10/22/13 14:58,532.9479636,-1941.08574
100845,10/22/13 20:56,528.4504915,-1931.421204
100853,9/1/13 05:48,-2479.980272,3623.739115
100853,9/1/13 11:48,-2480.863488,3623.126449
100853,9/1/13 17:47,-2478.822075,3623.39588
100853,9/1/13 23:47,-2478.872317,3622.649815
100853,9/2/13 05:44,-2479.199418,3623.422561
100853,9/2/13 11:44,-2478.875551,3623.366509
100853,9/2/13 17:43,-2479.11275,3623.35458
100853,9/3/13 05:40,-2480.426095,3624.078875
100853,9/3/13 11:41,-2478.986604,3623.394275
100853,9/4/13 05:32,-2479.171049,3623.451086
100853,9/4/13 11:33,-2478.690857,3624.054009
100853,9/4/13 17:31,-2489.528185,3602.738116
100853,9/4/13 23:30,-2562.696579,3387.673416
100853,9/5/13 05:28,-2574.96612,3354.130132
100853,9/5/13 11:27,-2574.112602,3353.199261
100853,9/5/13 23:26,-2541.23069,3283.32571
100853,9/6/13 05:23,-2536.880357,3279.564003
100853,9/6/13 11:24,-2534.850189,3271.340443
100853,9/6/13 17:22,-2528.058878,3190.699112
100853,9/6/13 23:22,-2451.387228,3032.450002
100853,9/7/13 11:16,-2457.251798,2999.239723
100853,9/7/13 17:17,-2458.237355,2995.339872
100853,9/7/13 23:13,-2458.071497,2995.170243
100853,9/8/13 05:13,-2461.893222,2994.883795
100853,9/8/13 11:13,-2459.901878,2992.780863
100853,9/8/13 17:11,-2436.994214,2940.453248
100853,9/8/13 23:11,-2377.013379,2711.906469
100853,9/9/13 05:10,-2346.294375,2655.158914
100853,9/9/13 11:09,-2343.853713,2654.477622
100853,9/9/13 17:10,-2336.064986,2643.770411
100853,9/9/13 23:08,-2324.563451,2614.159928
